step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.4932173204739287,0.0,0.0,3.4932173204739287,0.0
100,18.62409730140631,2.59980663371763,0.0007548979805017108,81.14785252755607,0.4731976996257186,0.0008970171695522881
200,19.19422272900038,2.547790339906517,0.000446780266471244,81.26187761307487,0.44727919014691014,0.000684222933208448
300,19.232231090839985,2.5776140367780425,0.00034435023846042783,82.02204484986697,0.4281400263898724,0.0006505303236376636
400,19.68833143291524,2.6154829401723294,0.00029231111921195364,81.94602812618776,0.42901871098024813,0.0006218393813246302
500,19.61231470923603,2.6666026362797184,0.00028053797966869645,82.40212846826302,0.42941071243322604,0.000621130333697585
600,19.19422272900038,2.7228452981121345,0.0002599048826428637,82.13606993538579,0.42887295537326486,0.0006125019622031823
700,19.46028126187761,2.7891452028512047,0.00025636181511699976,82.59217027746104,0.4173385663187782,0.0006494049154649794
800,19.574306347396426,2.848234507764226,0.00024770464824499995,82.51615355378183,0.4047555785205478,0.0005740402200372174
900,19.878373242113266,2.9106177049388644,0.00025085618339147175,82.78221208665906,0.40515924458330244,0.0005961201494519817
1000,19.954389965792473,2.9919161107513355,0.00023448117780751275,82.44013683010262,0.4052233489610987,0.0005868287629449826
1100,19.42227290003801,3.0725897917917067,0.0002533238542971886,82.36412010642341,0.4057057295849577,0.0005920417097217466
1200,19.61231470923603,3.1466446706701787,0.00023278741259153454,82.85822881033828,0.40573427465029366,0.0006011075305756148
1300,19.61231470923603,3.2234872983721687,0.00024467989213693446,82.17407829722539,0.40580007907360427,0.0005850984655630186
1400,19.27023945267959,3.302518593753401,0.00023890438129938704,82.55416191562144,0.4058169316436784,0.000598918376824981
1500,19.384264538198405,3.380213080071111,0.00023172859944904146,82.09806157354618,0.40592277860579595,0.0005841560778973183
1600,19.498289623717216,3.467419274291354,0.00023639288148348067,82.40212846826302,0.4061073370491433,0.0005719751544952191
1700,19.76434815659445,3.5461143117078127,0.0002312596389869014,82.59217027746104,0.4061513412884772,0.0006203092512790727
1800,19.308247814519195,3.63358913364862,0.00022107324692106233,81.75598631698973,0.4063196291722742,0.0005794292376923649
1900,18.814139110604334,3.717858317010386,0.0002370670938311721,82.2881033827442,0.4063784599274057,0.0005888860492885977
2000,19.156214367160775,3.8069285800842274,0.00022811243819495232,82.51615355378183,0.40623614757158366,0.0006003739135495092
2100,19.42227290003801,3.89364653931713,0.0002299823599867006,81.75598631698973,0.4064372286960923,0.0005786718217141418
2200,19.574306347396426,3.984365265558094,0.0002233487334451347,82.55416191562144,0.4062780173568757,0.0005768732922604787
2300,19.384264538198405,4.069551210746282,0.0002268190695416084,82.36412010642341,0.4062917251107893,0.0005726850954710229
2400,19.384264538198405,4.164693128172337,0.0002316715947212899,81.94602812618776,0.406399793429904,0.0006085995377443935
2500,19.19422272900038,4.258051338182999,0.000217715174286842,82.02204484986697,0.4060550532930754,0.0006001502388605571
2600,19.3462561763588,4.3491763267133,0.00021686160866585705,82.17407829722539,0.40615239275978393,0.0005955081014036633
2700,19.384264538198405,4.43003951460167,0.00021628230562642853,82.66818700114025,0.4057972576186165,0.0005987346004356031
2800,19.11820600532117,4.522723758395121,0.00022640233953289822,82.212086659065,0.4053157117688838,0.0005817487997804045
2900,19.080197643481565,4.612080520826308,0.0002195957414328554,81.98403648802737,0.4002222583444159,0.0006271790785904958
3000,19.04218928164196,4.707144516584335,0.00021938435420473324,82.63017863930065,0.399832402722319,0.0005806970822729282
