step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.5029257117510455,0.0,0.0,3.5029257117510455,0.0
100,0.038328861632809505,3.4994279721147725,6.1070235545298714e-06,0.2683020314296665,3.449902296159563,5.876962250303582e-05
200,0.07665772326561901,3.495938918003077,6.086033552958832e-06,0.6899195093905711,3.39735599740266,5.9123712462106526e-05
300,0.07665772326561901,3.4924595904864835,6.064688613116206e-06,1.1115369873514758,3.345374474451942,5.939380493064903e-05
400,0.07665772326561901,3.4889910991405753,6.04294006597214e-06,1.6481410502108087,3.2940408816535993,5.9578798898054445e-05
500,0.11498658489842851,3.4855345876060295,6.020754094052127e-06,2.721349175929475,3.243432512987067,5.96788655845773e-05
600,0.19164430816404754,3.4820911945845645,5.99811495865798e-06,3.411268685320046,3.1936192970575394,5.969577582551484e-05
700,0.22997316979685703,3.478662014566179,5.975026207400195e-06,4.292832502874664,3.144662642949065,5.96325270989821e-05
800,0.22997316979685703,3.475248062384297,5.9515098439785246e-06,4.791107704101188,3.0966148805138936,5.949295247857097e-05
900,0.22997316979685703,3.471850244796704,5.927603794224759e-06,5.251054043694903,3.0495192332033016,5.9281435246155886e-05
1000,0.34495975469528556,3.468469340947564,5.903358244789867e-06,6.20927558451514,3.0034101265188244,5.900270042082598e-05
1100,0.34495975469528556,3.465105992126271,5.878831513761861e-06,7.052510540436949,2.958313694688788,5.866192070369789e-05
1200,0.3832886163280951,3.461760700017215,5.854086043314133e-06,7.704101188194711,2.9142484406015114,5.826458730945775e-05
1300,0.45994633959371406,3.45843383182646,5.829184934269807e-06,8.700651590647757,2.871225994747462,5.781631611801595e-05
1400,0.536604062859333,3.45512563032659,5.804189238236155e-06,9.620544269835186,2.8292518263856925,5.732270265083182e-05
1500,0.5749329244921426,3.451836226909547,5.779156041708667e-06,10.387121502491375,2.788325692661496,5.678930999550986e-05
1600,0.5749329244921426,3.4485656560437516,5.754137252395078e-06,11.077041011881947,2.748441688415979,5.622182859881365e-05
1700,0.6515906477577615,3.4453138699502044,5.729178938188431e-06,12.226906860866233,2.709588006010157,5.562627289911129e-05
1800,0.6515906477577615,3.4420807527263886,5.704321061816011e-06,13.14679954005366,2.6717467490942366,5.500899902009631e-05
1900,0.6899195093905711,3.4388661334867177,5.679597478206544e-06,13.683403602912993,2.6348941301448576,5.4376489791240134e-05
2000,0.7282483710233806,3.4356697983288105,5.655036099093544e-06,14.258336527405136,2.5990011398952206,5.373503728834913e-05
2100,0.8432349559218091,3.432491501082226,5.630659183381118e-06,14.986584898428516,2.564034569948726,5.309041455917744e-05
2200,0.8432349559218091,3.42933097287237,5.60648397059503e-06,15.753162131084707,2.529958252087719,5.2447557160561416e-05
2300,0.9198926791874281,3.4261879305625618,5.582526662278319e-06,16.443081640475278,2.496734430910439,5.1810266561985837e-05
2400,0.9198926791874281,3.4230620841425803,5.558797602951546e-06,17.171330011498657,2.464325149191274,5.118102584130605e-05
2500,0.9965504024530472,3.419953143127052,5.53529200479447e-06,17.89957838252204,2.432693441860469,5.0561040342886766e-05
2600,1.0348792640858566,3.416860822019514,5.5120072470617695e-06,18.58949789191261,2.401804162567446,4.9950496800822344e-05
2700,1.1881947106170947,3.413784844891368,5.488938874824633e-06,19.049444231506325,2.3716244263912634,4.934890689419427e-05
2800,1.1881947106170947,3.4107249491196363,5.466080254000612e-06,19.547719432732848,2.3421237997934123,4.875540125944563e-05
2900,1.2265235722499042,3.4076808883232226,5.4434227115863545e-06,20.352625527021846,2.3132743915200455,4.816892830849151e-05
3000,1.2648524338827136,3.404652434533533,5.420955306530845e-06,21.08087389804523,2.285050917079437,4.758838481340694e-05
