step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.4572955862797605,0.0,0.0,3.4572955862797605,0.0
100,0.6493506493506493,3.444687019659302,4.380896140537338e-05,4.469060351413293,3.1585326018973796,0.0003571461914710213
200,1.1841100076394193,3.4329045465549917,4.179519452325462e-05,9.167303284950345,2.8927406595046397,0.0003438890694512199
300,1.9862490450725745,3.4219648051857274,3.994423441306343e-05,13.17799847211612,2.6646232704893005,0.00032126021939848524
400,2.406417112299465,3.4117551114296205,3.828175174113243e-05,17.647058823529413,2.470348430271889,0.00029625687245483315
500,3.017570664629488,3.402148899225791,3.6791240234570376e-05,21.695951107715814,2.302776374199996,0.00027241180471115683
600,3.4759358288770055,3.3930489619330317,3.5442468772131705e-05,24.560733384262797,2.156751649306014,0.00024992547897013137
700,4.163483575248281,3.384392774386737,3.420857566485242e-05,27.96027501909855,2.0290239730200232,0.00022891082477720557
800,4.545454545454546,3.3761435842939176,3.30689848977289e-05,30.40488922841864,1.916936024728085,0.00020940788682845526
900,5.118411000763942,3.3682775914582,3.2010530097052686e-05,32.88770053475936,1.8180256290385524,0.00019183425819821822
1000,5.4239877769289535,3.360777416075452,3.1023649672240495e-05,34.950343773873186,1.729515638770344,0.00017649068868237075
1100,5.729564553093965,3.3536303300955277,3.009991128527679e-05,37.01298701298701,1.6497877054983134,0.00016268038730482323
1200,6.035141329258976,3.3468236827880578,2.9234593399190094e-05,38.92284186401834,1.5785554819690537,0.0001494987405243912
1300,6.569900687547746,3.340340358130998,2.842436264294788e-05,40.67990832696715,1.514952044703386,0.0001374219246256213
1400,6.9136745607333845,3.334159304335652,2.7665831292772598e-05,42.47517188693659,1.4572796606783955,0.0001272403968170359
1500,7.257448433919022,3.3282587128475254,2.695420794300323e-05,43.96485867074102,1.40466638774369,0.00011828808815971549
1600,7.410236822001528,3.3226182841983767,2.6284573161141708e-05,45.378151260504204,1.3573102714555259,0.00010983867489130254
1700,7.715813598166539,3.3172200321790553,2.5651803668664406e-05,46.60045836516425,1.3150118484550264,0.00010192518164738387
1800,7.983193277310924,3.312048279829567,2.5051031507336207e-05,47.669977081741784,1.2768722556477756,9.496905218930236e-05
1900,8.212375859434683,3.3070892832504715,2.4478994293228414e-05,48.5485103132162,1.242037801773252,8.900891803189918e-05
2000,8.517952635599695,3.302330658843509,2.393252488285759e-05,49.35064935064935,1.210046453091565,8.377458379708372e-05
2100,8.708938120702827,3.297760789250578,2.3410038735477368e-05,50.53475935828877,1.1808053999885173,7.889548355859995e-05
2200,8.823529411764707,3.293368421713002,2.2909851413211798e-05,51.18411000763942,1.1542093520378554,7.440227008426291e-05
2300,8.938120702826586,3.2891425609336156,2.2429786112972265e-05,51.83346065699007,1.129925860038984,7.044231236289061e-05
2400,9.090909090909092,3.2850725810655805,2.1967975005604064e-05,52.63559969442322,1.1076138391060593,6.684835337381177e-05
2500,9.243697478991596,3.281148407784177,2.152273350723175e-05,53.475935828877006,1.086963108454539,6.357285201476705e-05
2600,9.396485867074102,3.2773606694126287,2.109251129914677e-05,54.16348357524828,1.0677502046695515,6.057014802887394e-05
2700,9.472880061115355,3.2737008015015787,2.06758550417092e-05,54.7746371275783,1.0498255311319948,5.783870335931545e-05
2800,9.587471352177234,3.270161158952973,2.0271360641021447e-05,55.23300229182582,1.0329733986309577,5.551270612582474e-05
2900,9.816653934300993,3.2667352393223767,1.9877536501282944e-05,55.805958747135215,1.017031772403016,5.3454305751649795e-05
3000,10.045836516424751,3.2634181377512883,1.9492745084404933e-05,56.22612681436211,1.0021739408862362,5.126587913179672e-05
