step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.504970235072626,0.0,0.0,3.504970235072626,0.0
100,0.5384615384615384,3.506252728880154,2.9875612867332622e-05,2.1538461538461537,3.3589701277985227,0.00018454083517384484
200,0.8461538461538461,3.5075777488112347,2.876644428752322e-05,4.730769230769231,3.2196447102556047,0.00018269481586106104
300,1.3461538461538463,3.5089610677709326,2.7728854207088316e-05,7.538461538461538,3.0881526028680724,0.00017915474866940178
400,1.6538461538461537,3.51041167518969,2.675868500107664e-05,9.846153846153847,2.9649967552968013,0.0001743999088784327
500,2.1923076923076925,3.511932435335069,2.5852724543608957e-05,12.307692307692308,2.850177805980991,0.00016879002245973182
600,2.769230769230769,3.5135221112281343,2.500777937996509e-05,14.038461538461538,2.743471382184761,0.00016252275413124547
700,2.9615384615384617,3.515177478791758,2.4220305038652437e-05,16.423076923076923,2.644580833618025,0.00015572702985133157
800,3.3076923076923075,3.5168947589576596,2.3486493137848622e-05,18.423076923076923,2.553153769829689,0.00014855007830738218
900,3.5,3.518670319678594,2.2801005882428273e-05,20.307692307692307,2.46872782807357,0.0001412115987800927
1000,3.769230769230769,3.520500849518086,2.215932118170023e-05,21.96153846153846,2.3907102848947286,0.0001339636811150719
1100,4.230769230769231,3.522383223537759,2.1557732700767816e-05,23.692307692307693,2.3184700829151277,0.00012697478527269533
1200,4.576923076923077,3.5243143094156815,2.099341901343293e-05,25.423076923076923,2.2514244068910263,0.00012031749513166151
1300,4.769230769230769,3.526290888574664,2.046342029155161e-05,26.576923076923077,2.1890083801234437,0.00011403952537601592
1400,5.076923076923077,3.528309701764719,1.9964777422506305e-05,28.115384615384617,2.1306877196039284,0.00010816677894873732
1500,5.423076923076923,3.5303675440901854,1.9494978999990752e-05,29.346153846153847,2.0760148139535985,0.00010271308740404356
1600,5.730769230769231,3.5324613787494714,1.9051570593536014e-05,30.576923076923077,2.024660463171118,9.766120894435331e-05
1700,5.923076923076923,3.534588499563008,1.8632208785661405e-05,32.0,1.9764201208050949,9.293701492510211e-05
1800,6.1923076923076925,3.5367467575766387,1.8234565717996786e-05,33.11538461538461,1.9311590699678198,8.845415900743042e-05
1900,6.576923076923077,3.5389347937064435,1.785632464023628e-05,34.19230769230769,1.888718917104575,8.41740326645767e-05
2000,7.076923076923077,3.541152158997889,1.7495365432186055e-05,35.19230769230769,1.8488478923063036,8.014417148392177e-05
2100,7.1923076923076925,3.5433992117391315,1.7149838416928302e-05,36.03846153846154,1.811233657182201,7.642793538921886e-05
2200,7.538461538461538,3.5456767690556026,1.681825109172593e-05,37.26923076923077,1.7756050623246176,7.30167963526832e-05
2300,7.653846153846154,3.547985617804523,1.6499547210881485e-05,38.26923076923077,1.7417818657217088,6.985109455089228e-05
2400,7.730769230769231,3.5503260682239266,1.6193019893783614e-05,38.92307692307692,1.7096572008685,6.685989285176898e-05
2500,7.769230769230769,3.5526977004357216,1.5898073726086555e-05,39.61538461538461,1.6791442862562935,6.401220499494221e-05
2600,7.923076923076923,3.555099339733399,1.5614171435364816e-05,40.5,1.650135838578559,6.133427601970037e-05
2700,8.307692307692308,3.557529194552478,1.5340761703293225e-05,41.57692307692308,1.6225473316661778,5.881916142478468e-05
2800,8.423076923076923,3.559985058741229,1.5077235655340686e-05,41.88461538461539,1.5963802330012005,5.640836593763873e-05
2900,8.73076923076923,3.562464504782913,1.4822994719984531e-05,42.42307692307692,1.5716512423931772,5.4098502072135436e-05
3000,8.807692307692308,3.5649650364507277,1.4577496239871485e-05,43.03846153846154,1.5483160994667333,5.190508184023743e-05
