step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.3548573043236294,0.0,0.0,3.3548573043236294,0.0
100,1.3182674199623352,3.3543179165684185,8.692146552298345e-05,6.779661016949152,2.887308737245492,0.0005912434002832403
200,2.4482109227871938,3.353808985082709,7.855318611351085e-05,14.500941619585687,2.5113797100614086,0.0005294389377097405
300,3.389830508474576,3.3533483464962415,7.176695851752348e-05,21.242937853107346,2.225114355821691,0.000451881381563876
400,4.293785310734464,3.3530720369750693,6.614901008167213e-05,26.629001883239173,2.0045324353043354,0.00038226853379181837
500,5.009416195856874,3.3532004147282435,6.14116838025703e-05,31.67608286252354,1.829226400448649,0.0003215768186329989
600,5.83804143126177,3.3538548119628664,5.738902627417405e-05,34.83992467043314,1.6861822021126103,0.00027267184378517323
700,6.553672316384181,3.3549965592195634,5.396741114996307e-05,37.85310734463277,1.56586928821606,0.00023462313246759122
800,6.967984934086629,3.356518889010656,5.1025306463531974e-05,40.376647834274955,1.4666307039042472,0.00020169456314503926
900,7.796610169491525,3.3583180059775453,4.845607231465943e-05,42.4482109227872,1.3854211698022363,0.0001743695971410799
1000,8.361581920903955,3.3603250224031496,4.616571422560863e-05,44.10546139359699,1.318543090690649,0.0001518875259089145
1100,8.474576271186441,3.3625464949276687,4.4059707521649706e-05,45.612052730696796,1.2624545119217323,0.0001345132786391499
1200,8.926553672316384,3.365025632036818,4.208687874448092e-05,47.344632768361585,1.2136224067958552,0.00012128138389648689
1300,9.453860640301318,3.3677832403459207,4.0217818944620964e-05,48.813559322033896,1.170312457161122,0.0001108130343872245
1400,9.75517890772128,3.3708499620699715,3.842026286032473e-05,49.98116760828625,1.132624643321694,0.00010114533549036194
1500,10.131826741996234,3.374285888365096,3.666085733099902e-05,50.73446327683616,1.0993740162066274,9.344173462334283e-05
1600,10.508474576271187,3.378144363545555,3.495030614116325e-05,51.75141242937853,1.07029387665255,8.614459534693232e-05
1700,10.847457627118644,3.3824190814142763,3.331199070252204e-05,52.35404896421846,1.0450365211849386,7.973344722693934e-05
1800,11.148775894538607,3.3870766947780973,3.17527749986765e-05,53.29566854990584,1.0226669530636605,7.471909376692843e-05
1900,11.45009416195857,3.3920794864825137,3.0278214310589895e-05,53.78531073446328,1.0032025448216937,6.936193319953966e-05
2000,11.638418079096045,3.39738630465521,2.8888727899217967e-05,54.19962335216572,0.9860332068019185,6.524531125917489e-05
2100,11.826741996233523,3.4029602790881315,2.7582289370949882e-05,54.68926553672316,0.9703008946617202,6.218946986205144e-05
2200,12.015065913370998,3.4087746341957197,2.6355698813362663e-05,54.99058380414313,0.9558186222317625,5.952498218061471e-05
2300,12.31638418079096,3.4148120846387036,2.5205664850119007e-05,55.02824858757062,0.9427022908484689,5.687312203117817e-05
2400,12.542372881355933,3.4210616517663714,2.4129295719312057e-05,55.367231638418076,0.9308892310044292,5.4506490228792405e-05
2500,12.542372881355933,3.4275153657071984,2.3124487700655845e-05,55.66854990583804,0.9201902847115617,5.2433612836650605e-05
2600,12.655367231638419,3.434165394229765,2.219021324907713e-05,55.856873822975516,0.910101734988975,5.083939044286717e-05
2700,12.693032015065913,3.4410016407057684,2.1324852386177877e-05,55.96986817325801,0.9000670575722556,4.9639428330064976e-05
2800,12.919020715630886,3.4480102734781486,2.0526715026011307e-05,56.120527306967986,0.8905270206947398,4.827517638269223e-05
2900,13.145009416195856,3.455175032072152,1.979258473496142e-05,56.346516007532955,0.8819325020419132,4.611820960930582e-05
3000,13.258003766478343,3.4624851684375835,1.9110907792519946e-05,56.45951035781544,0.8745940671990821,4.416084582111963e-05
