step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.5196332557588916,0.0,0.0,3.5196332557588916,0.0
100,0.0,3.518400832918372,8.02574725837649e-06,0.5649717514124294,3.4705104678917946,5.87079637316124e-05
200,0.11299435028248588,3.5171735663644794,7.962677189050742e-06,1.4312617702448212,3.421837430136211,5.8952834564850184e-05
300,0.3013182674199623,3.515951820838331,7.900279237061529e-06,1.807909604519774,3.373705303132761,5.910900229777982e-05
400,0.4519774011299435,3.5147359082091296,7.838564503806298e-06,2.4858757062146895,3.326198951805717,5.91756358976718e-05
500,0.5649717514124294,3.513526094829081,7.777543650334112e-06,3.0508474576271185,3.2793950141705683,5.915398568170112e-05
600,0.6779661016949152,3.5123226104999183,7.717227420253849e-06,3.84180790960452,3.233360265795825,5.9047779186888845e-05
700,0.7909604519774012,3.5111256576078653,7.657605271130986e-06,4.406779661016949,3.1881505163974535,5.88629237828548e-05
800,0.9416195856873822,3.5099354190993317,7.598663386554485e-06,5.12241054613936,3.1438101558644975,5.860713790936378e-05
900,1.0169491525423728,3.5087520643464813,7.5403937960347815e-06,5.725047080979285,3.1003724451930617,5.828884768448791e-05
1000,1.1299435028248588,3.507575752473522,7.4827943070103655e-06,6.4030131826742,3.057860602200298,5.791666064217483e-05
1100,1.28060263653484,3.506406633254681,7.425863618203802e-06,7.344632768361582,3.0162895241981103,5.749822862098414e-05
1200,1.3182674199623352,3.5052448461429786,7.3695885866843065e-06,8.097928436911488,2.9756677324692986,5.7039709472164666e-05
1300,1.393596986817326,3.504090518267388,7.313961473089629e-06,8.775894538606403,2.9359990475999838,5.654566666870371e-05
1400,1.5065913370998116,3.502943762309377,7.258978974807712e-06,9.491525423728813,2.8972836909020248,5.6019186897093735e-05
1500,1.5065913370998116,3.501804675048711,7.204639485303083e-06,10.169491525423728,2.859518819870662,5.546262398542664e-05
1600,1.6195856873822976,3.5006733371046455,7.1509420516818655e-06,11.261770244821092,2.8226987197839963,5.487797238689336e-05
1700,1.7702448210922788,3.4995498140691197,7.0978854549940146e-06,12.015065913370998,2.7868148599433407,5.4266844586413405e-05
1800,1.9585687382297552,3.498434158913445,7.0454674229185085e-06,12.88135593220339,2.7518558634932866,5.36308293679642e-05
1900,2.2222222222222223,3.4973264153121795,6.993684201333666e-06,13.67231638418079,2.717807340431305,5.297185051377065e-05
2000,2.2598870056497176,3.496226621401196,6.94253054041541e-06,14.312617702448211,2.684651606478203,5.229242103821841e-05
2100,2.335216572504708,3.4951348134744538,6.892000021224938e-06,15.216572504708099,2.652367465196453,5.159575664672639e-05
2200,2.4858757062146895,3.494051029205607,6.8420895610780675e-06,15.856873822975517,2.620930284854278,5.0885625949132254e-05
2300,2.5235404896421847,3.4929753101223504,6.792793839327782e-06,16.346516007532955,2.5903124772206847,5.0166022542755715e-05
2400,2.6365348399246704,3.491907703225781,6.744096846174164e-06,17.21280602636535,2.5604842779535066,4.944084081671166e-05
2500,2.787193973634652,3.490848261799543,6.695989204316769e-06,17.815442561205273,2.531414602581934,4.8713691250968506e-05
2600,2.937853107344633,3.4897970455673595,6.648461944391897e-06,18.606403013182675,2.5030717954242987,4.7987857700732215e-05
2700,3.0131826741996233,3.488754120417016,6.6015072278440525e-06,19.472693032015066,2.475424245478546,4.7266290763608765e-05
2800,3.1638418079096047,3.4877195579103653,6.555119593771723e-06,20.037664783427495,2.4484409760559434,4.6551527625838896e-05
2900,3.2768361581920904,3.486693434750577,6.50929714012827e-06,20.86629001883239,2.422092321304774,4.584552789890391e-05
3000,3.3145009416195856,3.485675832297194,6.464040522213804e-06,21.619585687382298,2.3963506803337897,4.5149505594901006e-05
