step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.5438066157482537,0.0,0.0,3.5438066157482537,0.0
100,0.5747126436781609,3.527761664174922,4.3594117914591946e-05,4.482758620689655,3.235482236038234,0.0003617577834044075
200,1.3026819923371646,3.5124693318588456,4.184566643998066e-05,9.808429118773946,2.955721831514269,0.0003528218824152436
300,1.8773946360153257,3.498042504524555,4.0151604984905904e-05,13.639846743295019,2.711551915888397,0.00033317834007154173
400,2.0306513409961684,3.484437476743085,3.857268771412744e-05,18.199233716475096,2.5022250310299166,0.00030835383874977567
500,2.7203065134099615,3.4715619245898792,3.7122825693181675e-05,22.183908045977013,2.3219779443082964,0.00028323562193824825
600,3.2950191570881224,3.459335090591539,3.578972038481934e-05,25.517241379310345,2.1657547343321912,0.00025843767694888777
700,3.7547892720306515,3.447697707988865,3.4558283569254365e-05,28.467432950191572,2.0296249007025717,0.0002354179434572365
800,4.597701149425287,3.4366051963930464,3.3414445558570374e-05,31.417624521072796,1.9100797608512852,0.00021522846114029542
900,4.980842911877395,3.4260211084984418,3.234829796782943e-05,33.83141762452107,1.8039954569445935,0.00019770201941716038
1000,5.670498084291188,3.4159145327614997,3.135128429506171e-05,36.7816091954023,1.7091059839519838,0.00018213090568062725
1100,6.053639846743295,3.406259346409875,3.041522656881883e-05,38.96551724137931,1.624211229827836,0.00016799141140468428
1200,6.551724137931035,3.3970328846510944,2.9534128785275425e-05,40.53639846743295,1.5478155321955789,0.00015557405281627933
1300,6.819923371647509,3.3882137082204435,2.8704045138234443e-05,42.56704980842912,1.4791227853979265,0.0001438742605287177
1400,7.049808429118774,3.3797797729576655,2.7922585566596135e-05,44.21455938697318,1.4181798134981576,0.00013258126521469176
1500,7.203065134099617,3.3717080681561713,2.7187932225289038e-05,45.632183908045974,1.3647699043110224,0.00012197125948613554
1600,7.509578544061303,3.3639753602942983,2.6497402898413393e-05,46.934865900383144,1.3179415842130864,0.00011224796319536286
1700,7.89272030651341,3.3565590788984405,2.5846986260796505e-05,48.35249042145594,1.2762534811231985,0.00010385360874623565
1800,8.160919540229886,3.3494378512310212,2.5232792563104374e-05,49.50191570881226,1.2386297539464988,9.66675542467231e-05
1900,8.505747126436782,3.342591688862567,2.4651637359416958e-05,50.229885057471265,1.2046481063736627,9.02054691387516e-05
2000,8.659003831417625,3.3360019795557565,2.4100614978185143e-05,51.22605363984675,1.1737299864087307,8.461682468427038e-05
2100,8.9272030651341,3.3296514177052847,2.3576826712753938e-05,52.298850574712645,1.1452624870768027,7.990449495561667e-05
2200,9.003831417624522,3.3235239713955465,2.307755729660888e-05,53.29501915708812,1.118812004521107,7.586241068262036e-05
2300,9.118773946360154,3.317604973987043,2.2600180661252404e-05,54.21455938697318,1.0945280088531248,7.193028097482531e-05
2400,9.50191570881226,3.3118814253920688,2.214195232546613e-05,54.78927203065134,1.0726438674717889,6.805537540213322e-05
2500,9.616858237547893,3.306342540409466,2.1699960926564038e-05,55.7088122605364,1.0530196758497012,6.417284976724704e-05
2600,9.808429118773946,3.3009804087346586,2.1269827244196642e-05,56.16858237547893,1.0353087444828764,6.058801200973146e-05
2700,9.96168582375479,3.2957903139389173,2.084793533001873e-05,56.74329501915709,1.0190606897579728,5.751227216836889e-05
2800,10.153256704980842,3.2907700714894785,2.0432291140718298e-05,57.20306513409962,1.0039136177228305,5.489645254332731e-05
2900,10.268199233716475,3.285918251677562,2.0022978765569893e-05,57.969348659003835,0.9895633550974857,5.271617372333845e-05
3000,10.383141762452107,3.2812322325610515,1.9621511597143132e-05,58.50574712643678,0.9758362047217812,5.0813962194717534e-05
