step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.3357799612140453,0.0,0.0,3.3357799612140453,0.0
100,0.605831124574025,3.334194732026603,2.7231510411167745e-05,2.7262400605831125,3.200764198656122,0.00017180835826645656
200,1.21166224914805,3.332689578973209,2.6347038202749832e-05,4.770920106020447,3.0709601931897446,0.00017077776124210168
300,1.7417644831503218,3.331300774589412,2.5499846300012523e-05,6.891329042029534,2.9475884588028163,0.00016834070577619566
400,2.158273381294964,3.330050285661876,2.4693111137311402e-05,8.898144642180991,2.8312825040879708,0.0001649103424827177
500,2.5369178341537295,3.3289453685868597,2.3930143653398956e-05,11.13214691404771,2.722313046822328,0.0001606755008690195
600,2.953426732298372,3.327981503855136,2.321239785902287e-05,13.44187807648618,2.6207592087111435,0.000155677424037865
700,3.180613404013631,3.327147254208749,2.2540114370789208e-05,15.221507004922378,2.5264630132068255,0.0001500194427119639
800,3.52139341158652,3.3264287051007275,2.1911514488124498e-05,17.417644831503218,2.4389919539436242,0.00014393432693002807
900,4.013631200302916,3.3258123102618633,2.132415896196723e-05,19.462324876940553,2.357758123675683,0.00013768280809619855
1000,4.165088981446422,3.325286264972618,2.077504765161782e-05,21.27981825066263,2.2821524691265003,0.0001314815912416001
1100,4.392275653161681,3.3248409513125234,2.0260102778255625e-05,23.0973116243847,2.2116453582021496,0.00012541649868707947
1200,4.770920106020447,3.3244689188537526,1.9776312347134456e-05,24.68761832639152,2.145840335107622,0.000119466858318946
1300,5.073835668307459,3.3241646946179877,1.9321052084786872e-05,25.785687239681938,2.084406679026546,0.00011364728107189313
1400,5.149564558879212,3.3239245608311343,1.889138543430298e-05,27.300265051117,2.026991369692984,0.00010804460654323194
1500,5.528209011737978,3.323746295095378,1.8484921897766887e-05,28.549791745550927,1.9732230069118102,0.0001027230718739922
1600,5.793260128739114,3.3236287799131947,1.8099667603271033e-05,29.64786065884135,1.9227797861991849,9.7688324983101e-05
1700,6.05831124574025,3.3235714322358425,1.77341269324287e-05,30.594471790988262,1.8754023829717852,9.292396830568671e-05
1800,6.323362362741386,3.323573563294845,1.7386742118791382e-05,31.995456266565697,1.8308476633054744,8.843846316052412e-05
1900,6.399091253313139,3.3236338986193465,1.705600065239841e-05,33.01779628928436,1.788871729196167,8.424126588872775e-05
2000,6.626277925028399,3.3237504281795593,1.6740791145952e-05,33.81294964028777,1.7492348879837256,8.03510025974701e-05
2100,6.702006815600152,3.323920574594545,1.644015034419284e-05,34.91101855357819,1.7116880262824719,7.679247782399175e-05
2200,6.891329042029534,3.324141535122606,1.6153171316353687e-05,35.89549413101098,1.6760148832061688,7.353959185597463e-05
2300,7.04278682317304,3.324410642802708,1.5878836000156657e-05,36.652783036728515,1.6420876251361332,7.051055310128968e-05
2400,7.232109049602423,3.3247256459750893,1.561588625405491e-05,37.410071942446045,1.6098494955830758,6.763411760050058e-05
2500,7.421431276031806,3.325084854569786,1.536316221719597e-05,38.280954184021205,1.579259746505551,6.488020904807832e-05
2600,7.610753502461189,3.325487133354525,1.5119693417526857e-05,39.22756531616812,1.5502614141203814,6.22326808903328e-05
2700,7.8000757288905715,3.325931757893664,1.4884535464879756e-05,39.71980310488451,1.5227542975810018,5.9719478833473776e-05
2800,7.951533510034078,3.3264181954808087,1.4657078121829918e-05,40.32563422945854,1.496638004771591,5.736198676151016e-05
2900,8.027262400605832,3.3269459048212546,1.4436674430275074e-05,40.81787201817493,1.4718898743065532,5.510932828516188e-05
3000,8.216584627035214,3.3275142336158123,1.4222734329748105e-05,41.423703142748955,1.4485351919612683,5.292418795590915e-05
