step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.4956074782486173,0.0,0.0,3.4956074782486173,0.0
100,0.9484066767830045,3.4949102966584316,7.560537043267376e-05,5.273141122913505,3.11712654598342,0.0004758012837991138
200,1.9347496206373294,3.4950262371542222,6.91680325483542e-05,11.646433990895297,2.797959594177634,0.0004419492868101113
300,2.959028831562974,3.4959483701684277,6.372812952567302e-05,17.336874051593323,2.535807292933018,0.0003993580599069829
400,3.755690440060698,3.4975538201568703,5.914457949677147e-05,21.775417298937786,2.323778886366025,0.0003499164486664695
500,4.324734446130501,3.499718958092314,5.52680324698414e-05,26.555386949924127,2.1517798269404476,0.00030262833009214274
600,5.007587253414264,3.5023501455187103,5.194546125091165e-05,30.159332321699544,2.0093855090171693,0.0002618771204717069
700,5.842185128983308,3.5053840110859436,4.9070796051559824e-05,33.19423368740516,1.8909103318021707,0.0002269405537938857
800,6.449165402124431,3.5087672922709316,4.6555222909394784e-05,35.39453717754173,1.7908822967555509,0.0001986938165380579
900,6.980273141122914,3.512459800424324,4.4325014530178256e-05,37.55690440060698,1.7037802287410184,0.00017643281259743015
1000,7.3975720789074355,3.516427474105293,4.232791433122527e-05,39.68133535660091,1.6268128032844724,0.00015824970111378645
1100,7.928679817905918,3.5206308841571965,4.0527344477983776e-05,41.95751138088012,1.5594954527064258,0.00014212911243997623
1200,8.270106221547799,3.5250274014390803,3.888871459471702e-05,43.43702579666161,1.5003284423983998,0.00012887000660101924
1300,8.42185128983308,3.529578059627662,3.738274422862318e-05,45.03034901365706,1.4485818267887243,0.00011710070134419083
1400,8.725341426403642,3.5342496853339944,3.598378582500069e-05,45.940819423368744,1.4034338990243882,0.00010707479593484177
1500,9.066767830045524,3.539014566056502,3.4673950961618545e-05,47.00303490136571,1.3637093653910013,9.833655275349636e-05
1600,9.522003034901365,3.5438538383931255,3.343532718231123e-05,47.79969650986343,1.329058562025365,9.014639594520037e-05
1700,9.711684370257966,3.5487718743189474,3.224199496941228e-05,48.67223065250379,1.2985422999261735,8.34031544751298e-05
1800,9.863429438543248,3.5538169900038117,3.105816721733782e-05,49.468892261001514,1.270978362927908,7.802938689832515e-05
1900,10.09104704097117,3.5590679619166363,2.9873451164125834e-05,50.22761760242792,1.24559441409321,7.359074987084691e-05
2000,10.242792109256449,3.5645749549974375,2.8714618927959837e-05,50.72078907435508,1.2217949585150683,7.002873040604251e-05
2100,10.280728376327769,3.570335929797521,2.7606124917001808e-05,50.986342943854325,1.199352342845451,6.685045081715948e-05
2200,10.54628224582701,3.576324346445752,2.655129186839323e-05,51.63125948406677,1.1786450814523273,6.361837708403757e-05
2300,10.58421851289833,3.5825133809823795,2.554678793039682e-05,51.97268588770865,1.160081691503913,5.999881118219993e-05
2400,10.773899848254931,3.5888825562678353,2.459046847644951e-05,52.38998482549317,1.1439097506471394,5.6196754725916646e-05
2500,11.077389984825492,3.595416895248162,2.368101193379446e-05,52.731411229135055,1.1295680309627063,5.298177898519422e-05
2600,11.267071320182094,3.602104920513594,2.281730078147551e-05,53.14871016691958,1.1166181393203525,5.034626156822736e-05
2700,11.342943854324734,3.608937158916605,2.1998161566456027e-05,53.414264036418814,1.1047957742851113,4.812909364975811e-05
2800,11.494688922610015,3.6159052397576774,2.122264518288847e-05,53.9453717754173,1.0937897494532525,4.6337635853586554e-05
2900,11.684370257966616,3.623001379137188,2.0489375789591044e-05,54.02124430955994,1.0833492945186893,4.4914366422482414e-05
3000,11.949924127465858,3.6302180638711223,1.9797405456013772e-05,54.24886191198786,1.0732605958747385,4.37797783305895e-05
