step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.447692976322412,0.0,0.0,3.447692976322412,0.0
100,0.03816793893129771,3.4451741272363763,7.488438724938763e-06,0.4198473282442748,3.39715361525717,5.8304168718133854e-05
200,0.07633587786259542,3.442663803439212,7.440557289364699e-06,0.7633587786259542,3.347155462593592,5.8544573675312645e-05
300,0.15267175572519084,3.4401641675431014,7.392256697513935e-06,1.2595419847328244,3.2977854738086214,5.869272331262375e-05
400,0.26717557251908397,3.437677329422762,7.343533791364588e-06,1.8702290076335877,3.24911683851792,5.875416095179583e-05
500,0.26717557251908397,3.4352052928474714,7.294412412682365e-06,2.6717557251908395,3.201210093878911,5.8735052257604486e-05
600,0.3435114503816794,3.4327499059415523,7.244943147064571e-06,3.3587786259541983,3.1541145171940235,5.864161502774927e-05
700,0.4198473282442748,3.430312819075212,7.195202574013053e-06,3.969465648854962,3.1078693005807083,5.8479423649098184e-05
800,0.4580152671755725,3.427895453025303,7.145286453629179e-06,4.732824427480916,3.0625043882849643,5.825404144729217e-05
900,0.5725190839694656,3.4254989790789,7.095297144092957e-06,5.267175572519084,3.018041130516389,5.797154646841338e-05
1000,0.6106870229007634,3.4231243114768906,7.0453366873154434e-06,5.877862595419847,2.974492988301911,5.7638096645939955e-05
1100,0.648854961832061,3.420772111449508,6.995507644719315e-06,6.793893129770993,2.931866426432539,5.725941685682364e-05
1200,0.7633587786259542,3.418442801212787,6.945910700733332e-06,7.786259541984733,2.890161961787472,5.6841407850111675e-05
1300,0.8015267175572519,3.4161365857183137,6.896640903468822e-06,8.549618320610687,2.8493752483067847,5.638956349544734e-05
1400,0.8778625954198473,3.4138534796761584,6.847784791835322e-06,9.16030534351145,2.809498133843588,5.5908774908217e-05
1500,0.916030534351145,3.4115933373794176,6.799417639348236e-06,10.038167938931299,2.770519703196029,5.540306287392027e-05
1600,0.916030534351145,3.4093558831061084,6.751602042528674e-06,10.763358778625955,2.732427293730447,5.48754497321463e-05
1700,1.0305343511450382,3.4071407402943414,6.704388105923496e-06,11.221374045801527,2.695207352662699,5.432806013490313e-05
1800,1.1068702290076335,3.404947458195918,6.657816900825673e-06,12.13740458015267,2.6588459359241594,5.376246771071656e-05
1900,1.183206106870229,3.402775535226733,6.611932329999571e-06,12.938931297709924,2.623328742330326,5.3180172288568844e-05
2000,1.2595419847328244,3.4006244386819042,6.566747618930083e-06,13.549618320610687,2.5886408046367353,5.258294962308011e-05
2100,1.4122137404580153,3.398493620830176,6.522254089266615e-06,14.312977099236642,2.554766137931354,5.1972881263156114e-05
2200,1.6030534351145038,3.3963825316358056,6.478449425494937e-06,15.038167938931299,2.521687611049443,5.135224099779069e-05
2300,1.6412213740458015,3.3942906284886947,6.435328511446306e-06,15.610687022900763,2.4893871028397383,5.072334160926676e-05
2400,1.717557251908397,3.3922173833783087,6.392882558868726e-06,16.259541984732824,2.4578458234848655,5.0088359419693097e-05
2500,1.717557251908397,3.3901622879498112,6.351099891340244e-06,16.717557251908396,2.427044637580129,4.944924544825714e-05
2600,1.7938931297709924,3.388124856853575,6.309966905804013e-06,17.366412213740457,2.396964287075277,4.8807728754038034e-05
2700,1.8702290076335877,3.386104629757271,6.269469162681385e-06,18.015267175572518,2.3675854939516507,4.816535969918884e-05
2800,1.984732824427481,3.384101172341653,6.22959285244468e-06,18.702290076335878,2.3388889686640257,4.752356453091482e-05
2900,2.0610687022900764,3.3821140765510442,6.190325949552322e-06,19.541984732824428,2.3108553544940387,4.6883714735911276e-05
3000,2.1755725190839694,3.380142960318746,6.151654369391364e-06,20.19083969465649,2.283465142662143,4.62471869273199e-05
