step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.4927626554726374,0.0,0.0,3.4927626554726374,0.0
100,0.19179133103183735,3.492966785269147,9.877077798311705e-06,0.9205983889528193,3.444115767968604,5.971279148649264e-05
200,0.34522439585730724,3.493181319111691,9.756487400038106e-06,1.5726889144610663,3.3959789077028173,5.984394378371249e-05
300,0.5753739930955121,3.493406456190055,9.638243431174752e-06,2.263137706175681,3.348443550323395,5.987973429553898e-05
400,0.728807057920982,3.4936422781610923,9.522322693486488e-06,3.1070195627157653,3.3015868604041296,5.982545501833805e-05
500,0.7671653241273494,3.493888755733468,9.408693456194272e-06,3.8741848868431146,3.255470819925309,5.968910793729672e-05
600,0.8822401227464519,3.494145759969456,9.297359794389377e-06,4.641350210970464,3.2101433652473292,5.9479822104486e-05
700,1.1123897199846566,3.4944130769053627,9.188323968884142e-06,5.446873801304181,3.165641070612526,5.9206060276142396e-05
800,1.2658227848101267,3.4946904239880574,9.081582633754497e-06,6.290755657844265,3.1219924033120874,5.887464285025492e-05
900,1.380897583429229,3.494977466944234,8.97712593941473e-06,6.942846183352512,3.0792204793306848,5.84904786896713e-05
1000,1.4959723820483315,3.495273835968938,8.87493758332423e-06,7.710011507479862,3.0373445852218217,5.8056937970836575e-05
1100,1.5726889144610663,3.49557914045501,8.774995268479857e-06,8.63060989643268,2.996380302664716,5.757697204801177e-05
1200,1.6877637130801688,3.4958929818126006,8.677271316588432e-06,9.205983889528193,2.9563386308045922,5.705393052404919e-05
1300,1.8028385116992711,3.496214964200506,8.581733194733911e-06,10.203298810893747,2.9172248326737344,5.649214501369922e-05
1400,1.9179133103183736,3.496544703188291,8.488343272837965e-06,10.855389336401995,2.879037719655513,5.589713594308988e-05
1500,2.3014959723820483,3.4968818324903013,8.397058172169963e-06,11.507479861910241,2.841769788592989,5.5274123132187375e-05
1600,2.4165707710011506,3.497226008972326,8.307829591102447e-06,12.58151131568853,2.805408229537014,5.462772527373894e-05
1700,2.608362102032988,3.497576916146497,8.220605213397382e-06,13.233601841196778,2.7699365185618983,5.3961607390073086e-05
1800,2.761795166858458,3.497934266357752,8.135329449538817e-06,14.077483697736863,2.735336193177977,5.3278485021603e-05
1900,2.838511699271193,3.4982978018405877,8.051946309391197e-06,14.614499424626008,2.701588459087954,5.2580149207260386e-05
2000,3.0303030303030303,3.4986672947988713,7.970403422844418e-06,14.921365554276946,2.6686754039156577,5.186767537547735e-05
2100,3.1453778289221326,3.499042546641141,7.890663328808018e-06,15.841963943229766,2.6365807026314663,5.11417454850068e-05
2200,3.2604526275412353,3.4994233864923943,7.812709218080035e-06,16.800920598388952,2.6052897675618336,5.0402982102434204e-05
2300,3.49060222477944,3.4998096691010665,7.736480638118644e-06,17.568085922516303,2.5747893686023566,4.965228308129045e-05
2400,3.6056770233985422,3.500201272264828,7.661888677990576e-06,18.143459915611814,2.545066854586793,4.889115909864305e-05
2500,3.6823935558112773,3.5005980939071706,7.588870021237049e-06,18.9873417721519,2.516109197772867,4.812186563961538e-05
2600,3.8358266206367473,3.5010000489444653,7.517374344273032e-06,19.56271576524741,2.4879021013405946,4.734729121713193e-05
2700,4.10433448408132,3.501407066086073,7.447358354376066e-06,20.214806290755657,2.460429363104171,4.657072148333634e-05
2800,4.219409282700422,3.501819084705458,7.378782679644823e-06,20.560030686612965,2.4336726135581466,4.5795496134771454e-05
2900,4.41120061373226,3.502236051906724,7.311609858560029e-06,21.21212121212121,2.4076114482177595,4.5024692997251375e-05
3000,4.526275412351362,3.502657919889238,7.245803963391135e-06,21.67242040659762,2.3822238684451227,4.426096198315563e-05
