step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.5029257117510455,0.0,0.0,3.5029257117510455,0.0
100,23.572249904177845,1.7268559509890151,0.0011375797185713941,92.37255653507091,0.27853453602400835,0.0005370870501924549
200,27.98006899195094,1.4034374936602576,0.000433797971983004,93.1391337677271,0.24937337496892212,0.00013699426509630847
300,28.70831736297432,1.3106008827540936,0.0002508551445495436,93.17746262935991,0.23096234331180182,5.487449758155834e-05
400,28.440015331544654,1.2734201738111732,0.00017771403848771742,93.21579149099271,0.22550275672950304,3.4972996241351557e-05
500,28.286699885013416,1.2464605878560115,0.00014260850693968943,93.1391337677271,0.22522471128386004,3.512416234200044e-05
600,28.133384438482178,1.2275280032182725,0.000120073659261642,93.10080490609428,0.22447939776254155,3.972732205283528e-05
700,27.865082407052512,1.2186552530853414,0.000107519408477065,93.17746262935991,0.21944423088615744,3.115843374098915e-05
800,27.711766960521274,1.2091259104916257,9.612944522130104e-05,93.1391337677271,0.21572489510775736,2.6346983970898245e-05
900,28.01839785358375,1.2080863237787969,8.945367542602129e-05,93.10080490609428,0.21569018205941373,2.9062268604478616e-05
1000,27.90341126868532,1.2077131059965676,8.605816853107067e-05,92.98581832119586,0.2156532644916379,3.4207367211798336e-05
1100,27.90341126868532,1.2072620234725713,8.451762651648865e-05,92.87083173629743,0.2155253738723562,4.0941526458608966e-05
1200,27.90341126868532,1.205920648752601,8.48887847602809e-05,92.90916059793024,0.21533730165019133,3.7098299782221734e-05
1300,28.171713300114988,1.2028284189072291,8.498848429941189e-05,92.94748945956304,0.21519688558408168,3.156118847682694e-05
1400,28.401686469911844,1.2001572568364915,8.52689535587451e-05,92.87083173629743,0.21496628091559986,2.7345276656348428e-05
1500,28.286699885013416,1.1954270319530036,8.586795012741084e-05,92.90916059793024,0.21454124983660647,2.424690601476751e-05
1600,28.401686469911844,1.1938706120323246,8.532090298332703e-05,92.90916059793024,0.2128715074662437,2.705879500844803e-05
1700,28.286699885013416,1.1911785376484898,8.374072135108376e-05,92.94748945956304,0.20857217900504804,2.6831175497099655e-05
1800,28.363357608279035,1.188577674983848,8.416523587569767e-05,92.94748945956304,0.2080533618965763,3.3731134833537564e-05
1900,28.401686469911844,1.187409412475509,8.105597721571563e-05,92.98581832119586,0.20225106112438027,2.9937548916471465e-05
2000,28.70831736297432,1.187156112983645,8.049081226908402e-05,92.94748945956304,0.20226724244393118,2.291567813039671e-05
2100,28.74664622460713,1.186993994434253,8.028892677404939e-05,92.94748945956304,0.20230313314597498,2.5567110737543593e-05
2200,28.70831736297432,1.1865399080278838,8.082511178397551e-05,92.90916059793024,0.20229902947742864,2.6936211455468205e-05
2300,28.440015331544654,1.1842149456440012,8.213572889908321e-05,92.90916059793024,0.20228941884653912,2.7208291207768028e-05
2400,28.286699885013416,1.1840656278600252,8.093126918662407e-05,93.02414718282867,0.20226898527139117,3.037345111026342e-05
2500,28.325028746646225,1.18401228399323,8.132837309019935e-05,93.02414718282867,0.20223580443486103,2.719112327668094e-05
2600,28.401686469911844,1.1839722679675861,8.198844470000058e-05,93.02414718282867,0.20221678143791216,2.5989091694523693e-05
2700,28.401686469911844,1.183899489212569,8.26841701138707e-05,93.06247604446148,0.20225586583146984,2.9407787175153607e-05
2800,28.286699885013416,1.1837752577083853,8.297678138384837e-05,93.06247604446148,0.20227862571959235,2.625606405632043e-05
2900,28.478344193177463,1.1836739328599377,8.265621170067135e-05,93.10080490609428,0.20223015846410472,2.0848488844026616e-05
3000,28.516673054810273,1.1835589062727325,8.218053155512805e-05,93.06247604446148,0.20217876638235008,1.809382872217637e-05
