step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.578850075762964,0.0,0.0,3.578850075762964,0.0
100,0.11329305135951662,3.575829227231823,7.290244381226922e-06,0.4909365558912387,3.5256818524504956,5.9382224752159654e-05
200,0.18882175226586104,3.5728200557570178,7.249471476799387e-06,1.0196374622356494,3.4729340601472654,5.975090604174329e-05
300,0.3021148036253776,3.569824392316863,7.208279229207468e-06,1.6238670694864048,3.4207145958578433,6.002665561562395e-05
400,0.41540785498489424,3.566844063358749,7.166627869093882e-06,2.2658610271903323,3.3691211580728266,6.021178853391435e-05
500,0.4909365558912387,3.5638808328096743,7.12451828088652e-06,2.56797583081571,3.3182392598987955,6.031071968071099e-05
600,0.6042296072507553,3.5609363485656624,7.081977123394773e-06,3.1722054380664653,3.2681420274156285,6.032855716060686e-05
700,0.6797583081570997,3.5580120979277368,7.039046808000257e-06,4.1540785498489425,3.218891363599894,6.0269965030867786e-05
800,0.7175226586102719,3.555109374813453,6.995794798970622e-06,4.947129909365559,3.170539664144247,6.0138910107941374e-05
900,0.7175226586102719,3.5522292597380463,6.952304620833635e-06,5.362537764350453,3.123131214780353,5.9938717476815794e-05
1000,0.7552870090634441,3.5493726119683697,6.908668535002091e-06,6.231117824773414,3.0767027119830814,5.9672669300171824e-05
1100,0.7930513595166163,3.546540072171547,6.864982459733304e-06,6.948640483383686,3.03128289628092,5.934472196571452e-05
1200,0.8308157099697885,3.543732073354669,6.821344686177714e-06,7.515105740181269,2.9868917555659733,5.895998083936745e-05
1300,0.8685800604229608,3.5409488578027672,6.777849596369371e-06,8.534743202416918,2.943539884821662,5.852478150900304e-05
1400,0.9818731117824774,3.538190497890563,6.7345727658174555e-06,9.516616314199396,2.9012284052845922,5.8046361780762235e-05
1500,1.0196374622356494,3.5354569189195653,6.691586524442081e-06,10.347432024169184,2.859949577538544,5.753217608726848e-05
1600,1.095166163141994,3.5327479224354885,6.648955517975498e-06,11.178247734138973,2.8196880396427377,5.698948024194481e-05
1700,1.2084592145015105,3.530063208789571,6.606735080950343e-06,11.706948640483384,2.7804224635630956,5.642484113738697e-05
1800,1.3595166163141994,3.5274023980243596,6.564971422790291e-06,12.5,2.742127363527783,5.584383575358376e-05
1900,1.5483383685800605,3.5247650484885247,6.523702277034575e-06,13.217522658610273,2.7047748720613094,5.5250881378785116e-05
2000,1.6238670694864048,3.5221506728994716,6.482957707590256e-06,14.19939577039275,2.6683364670969767,5.46490821770837e-05
2100,1.661631419939577,3.519558751848466,6.4427608671163035e-06,14.91691842900302,2.6327846838813582,5.404004634344383e-05
2200,1.6993957703927491,3.5169887449537596,6.403128646589853e-06,15.483383685800604,2.598094675315,5.342382385424231e-05
2300,1.6993957703927491,3.514440099997171,6.3640723606378364e-06,16.200906344410875,2.5642452511460903,5.27991791637456e-05
2400,1.7749244712990937,3.5119122604290682,6.325598574510188e-06,16.805135951661633,2.531218988648994,5.2164266270317316e-05
2500,1.8126888217522659,3.5094046716103837,6.287709880281056e-06,17.371601208459214,2.4990012687644634,5.15175040942983e-05
2600,1.850453172205438,3.506916786100375,6.2504052696528336e-06,17.749244712990937,2.467578516122202,5.0858330686471336e-05
2700,1.8882175226586102,3.504448068219075,6.213679973155341e-06,18.27794561933535,2.436936240808953,5.018757557247546e-05
2800,1.8882175226586102,3.501997998033188,6.177525380385112e-06,18.80664652567976,2.407057498962268,4.9507390713575235e-05
2900,1.9259818731117824,3.4995660748463076,6.14192958294663e-06,19.297583081571,2.377922142985125,4.882088597070593e-05
3000,1.9637462235649548,3.4971518202245826,6.10687795443285e-06,20.090634441087612,2.349506919655987,4.813160428007342e-05
