step,coverage_dm,potential_dm,movement_dm,coverage_sdmd,potential_sdmd,movement_sdmd
0,0.0,3.4345975911209483,0.0,0.0,3.4345975911209483,0.0
100,0.6533435818601077,3.4278883674010356,3.1491924001175615e-05,2.8439661798616447,3.233220295852592,0.0002401416038724021
200,0.9607993850883936,3.4214388190459997,3.046048956287391e-05,5.611068408916219,3.0437350646690557,0.00023819817811707796
300,1.1529592621060722,3.4152922122931404,2.9467841594607952e-05,9.262106072252113,2.8682027627993656,0.00023307810264237375
400,1.767870868562644,3.409456711132704,2.852707493459932e-05,12.605687932359723,2.7076155670285766,0.00022529767884768402
500,2.3443504996156803,3.403915311906835,2.764446520152492e-05,15.219062259800154,2.5625683578966085,0.00021520239533212476
600,2.9208301306687163,3.3986420831426054,2.6819734730881223e-05,18.370484242890086,2.4326356949875043,0.00020365258680591736
700,3.2282859338970025,3.3936112004885044,2.6049779850622495e-05,21.060722521137585,2.316195628091283,0.00019171683016420347
800,3.8431975403535743,3.38880037264658,2.5329918693567967e-05,23.328209069946194,2.211283496579931,0.00018007093162541326
900,4.189085318985396,3.384191754590383,2.4655990971051058e-05,25.595695618754803,2.1164973351087175,0.00016868831391218708
1000,4.611837048424289,3.3797709680428216,2.4023348734882975e-05,27.6325903151422,2.0308509617177752,0.00015757252264355143
1100,4.996156802459646,3.375525440511735,2.342952145514928e-05,29.515757109915448,1.9532823737335547,0.00014700222738954483
1200,5.342044581091468,3.3714435490226307,2.287056637754724e-05,31.20676402767102,1.882674783344272,0.00013717875146523336
1300,5.803228285933897,3.3675147856805743,2.234292678054151e-05,33.05149884704074,1.8179635067670945,0.0001282457728411064
1400,6.072252113758648,3.363730231054195,2.1843240691604882e-05,34.588777863182166,1.7582138443325028,0.00012026795426183156
1500,6.149116064565718,3.36008274864209,2.136835850472824e-05,36.1260568793236,1.702679398579162,0.00011316205877807862
1600,6.379707916986933,3.356566778513693,2.0915869070803554e-05,37.08685626441199,1.6509491063167783,0.00010661092707295022
1700,6.533435818601076,3.3531779059218074,2.048391403255211e-05,38.62413528055342,1.602953068325846,0.00010034619437788951
1800,6.917755572636434,3.3499124708022086,2.007074981285538e-05,39.96925441967717,1.5584845487613657,9.459650680823077e-05
1900,7.0330514988470405,3.3467674050395804,1.9674733668674104e-05,41.19907763259032,1.5171498232786276,8.941578939033765e-05
2000,7.417371252882398,3.343740285703296,1.929428871829267e-05,42.31360491929285,1.4787044405098138,8.455659203274655e-05
2100,7.532667179093005,3.340829399105159,1.8927906732818562e-05,43.005380476556496,1.4429638176889859,7.999120765415005e-05
2200,7.647963105303613,3.3380335759239546,1.8574481636045576e-05,43.697156033820136,1.409640115775588,7.583913500462586e-05
2300,7.840122982321291,3.335351742064939,1.8233021079218e-05,44.811683320522675,1.3784840435549692,7.20579768944957e-05
2400,7.9554189085318985,3.332782395685077,1.7903001017380307e-05,45.38816295157571,1.349337044222346,6.852173675912645e-05
2500,8.186010760953113,3.3303233072118403,1.7583973219800912e-05,46.11837048424289,1.322038768680777,6.523432386920082e-05
2600,8.30130668716372,3.3279715630007605,1.727542414240192e-05,46.963873943120674,1.2964271913413912,6.224261299922e-05
2700,8.416602613374327,3.32572384015516,1.6976589147507047e-05,47.80937740199846,1.2724139840018704,5.9490803228976124e-05
2800,8.455034588777863,3.3235767177390385,1.6686665399084315e-05,48.69331283627979,1.2500507358040327,5.682228451555831e-05
2900,8.57033051498847,3.3215268929830244,1.6404901541219937e-05,49.42352036894697,1.229395067524645,5.419537835104355e-05
3000,8.57033051498847,3.3195712687504013,1.613063896484864e-05,49.80784012298232,1.2103702587843952,5.166863217147911e-05
